orders,date
"9,778",2023-08-23
"13,881",2023-08-24
"11,375",2023-08-25
"11,387",2023-08-26
"11,444",2023-08-27
"10,081",2023-08-28
"10,324",2023-08-29
"10,288",2023-08-30
"10,482",2023-08-31
"8,905",2023-09-01
"8,847",2023-09-02
"9,383",2023-09-03
"9,547",2023-09-04
"9,784",2023-09-05
"11,427",2023-09-06
"9,567",2023-09-07
"9,390",2023-09-08
"10,532",2023-09-09
"10,375",2023-09-10
"10,261",2023-09-11
"10,723",2023-09-12
"9,856",2023-09-13
"9,602",2023-09-14
"9,548",2023-09-15
"10,065",2023-09-16
"9,990",2023-09-17
"10,204",2023-09-18
"10,011",2023-09-19
"12,829",2023-09-20
"11,175",2023-09-21
"10,773",2023-09-22
"9,900",2023-09-23
"12,785",2023-09-24
"10,776",2023-09-25
"11,639",2023-09-26
