date,year,uv,buyer,gmv,orders,cr,day_of_week,weekday,day_type,day_binary,campaign_info,campaign_type
2021-01-01,2021,96281,3595,66052,4331,0.037,4,1,Weekday,100,non campaign,non-campaign
2021-01-02,2021,93620,3852,68483,4599,0.041,5,0,Weekend,101,non campaign,non-campaign
2021-01-03,2021,98196,4402,75556,5254,0.045,6,0,Weekend,110,non campaign,non-campaign
2021-01-04,2021,108903,4374,75432,5292,0.04,0,1,Weekday,0,non campaign,non-campaign
2021-01-05,2021,123715,4486,74678,5518,0.036,1,1,Weekday,1,non campaign,non-campaign
2021-01-06,2021,115061,4394,82776,5312,0.038,2,1,Weekday,10,non campaign,non-campaign
2021-01-07,2021,111443,4053,73398,4923,0.036,3,1,Weekday,11,non campaign,non-campaign
2021-01-08,2021,112265,4021,72310,4880,0.036,4,1,Weekday,100,non campaign,non-campaign
2021-01-09,2021,98874,3578,62262,4364,0.036,5,0,Weekend,101,non campaign,non-campaign
2021-01-10,2021,99381,4088,72506,4795,0.041,6,0,Weekend,110,non campaign,non-campaign
2021-01-11,2021,117649,4153,71561,5057,0.035,0,1,Weekday,0,non campaign,non-campaign
2021-01-12,2021,115717,4051,69164,5037,0.035,1,1,Weekday,1,non campaign,non-campaign
2021-01-13,2021,118101,4173,75280,5105,0.035,2,1,Weekday,10,non campaign,non-campaign
2021-01-14,2021,113412,3614,63144,4525,0.032,3,1,Weekday,11,non campaign,non-campaign
2021-01-15,2021,116465,3930,71202,4828,0.034,4,1,Weekday,100,non campaign,non-campaign
2021-01-16,2021,114511,3847,70823,4733,0.034,5,0,Weekend,101,non campaign,non-campaign
2021-01-17,2021,113501,4377,80220,5218,0.039,6,0,Weekend,110,non campaign,non-campaign
2021-01-18,2021,109421,4146,77422,5032,0.038,0,1,Weekday,0,non campaign,non-campaign
2021-01-19,2021,115719,4098,74221,5064,0.035,1,1,Weekday,1,non campaign,non-campaign
2021-01-20,2021,114491,4270,77102,5203,0.037,2,1,Weekday,10,non campaign,non-campaign
2021-01-21,2021,113352,4010,69458,4952,0.035,3,1,Weekday,11,erke brand day,mini
2021-01-22,2021,111555,4117,73392,4982,0.037,4,1,Weekday,100,non campaign,non-campaign
2021-01-23,2021,114968,3798,65183,4637,0.033,5,0,Weekend,101,non campaign,non-campaign
2021-01-24,2021,119452,4721,91853,5675,0.04,6,0,Weekend,110,non campaign,non-campaign
2021-01-25,2021,115380,4390,81037,5302,0.038,0,1,Weekday,0,non campaign,non-campaign
2021-01-26,2021,109458,4361,79116,5427,0.04,1,1,Weekday,1,non campaign,non-campaign
2021-01-27,2021,114753,4393,82509,5390,0.038,2,1,Weekday,10,non campaign,non-campaign
2021-01-28,2021,116480,4202,80157,5212,0.036,3,1,Weekday,11,non campaign,non-campaign
2021-01-29,2021,107749,3957,75775,4851,0.037,4,1,Weekday,100,non campaign,non-campaign
2021-01-30,2021,107489,3836,68982,4763,0.036,5,0,Weekend,101,non campaign,non-campaign
2021-01-31,2021,100321,4155,75701,5113,0.041,6,0,Weekend,110,non campaign,non-campaign
2021-02-01,2021,132247,4651,80456,5722,0.035,0,1,Weekday,0,non campaign,non-campaign
